MET,UTC,eff
3365568,2006/02/27T17:00:49.427756,0.0882
43283766,2007/06/04T17:24:07.719916,0.056511745
43286831,2007/06/04T18:15:12.687892,0.056056572
84903022,2008/09/28T10:18:25.035897,0.065994204
84904539,2008/09/28T10:43:42.030889,0.066462289
87387000,2008/10/27T04:18:02.787347,0.055126886
87388505,2008/10/27T04:43:07.842894,0.053498031
110597868,2009/07/22T10:43:42.030889,0.027587933
125315903,2010/01/09T04:06:24.931047,0.027587933
125315904,2010/01/09T04:06:25.931047,0.0745353
138595683,2010/06/11T20:56:04.909778,0.076357746
141560276,2010/07/16T04:25:57.195787,0.064824449
168412351,2011/05/22T23:20:33.356721,0.066538094
168412352,2011/05/22T23:20:34.356721,0.078574157
170839392,2011/06/20T01:31:15.026313,0.071430111
199935092,2012/05/21T19:39:33.946384,0.072689561
199937013,2012/05/21T20:11:34.958453,0.074348471
203143262,2012/06/27T22:49:05.435334,0.066688462
203145206,2012/06/27T23:21:29.231813,0.069059142
233983846,2013/06/19T21:38:48.112399,0.062386198
233985771,2013/06/19T22:10:53.258142,0.062588963
237807487,2013/08/03T03:46:09.148896,0.062588963
237807488,2013/08/03T03:46:10.148896,0.084818699
266814366,2014/07/04T21:14:09.007398,0.07926872
266814367,2014/07/04T21:14:10.007398,0.07926872
270633068,2014-08-18T01:59:10.638192,0.079944239
270633069,2014-08-18T01:59:11.638192,0.079944239
283712798,2015-01-16T11:14:40.792101,0.079945269
283712799,2015-01-16T11:14:41.792101,0.079945269
283714795,2015-01-16T11:47:57.792124,0.078650003
283714896,2015-01-16T11:47:58.792124,0.078650003
294210403,2015-05-17T23:14:45.915389,0.080162897
301035075.5,2015-08-04T22:59:18.998535,0.078607091
311760408.5,2015-12-07T02:14:58.015258,0.078037935
9999999999,9999/99/99T00:00:00.000000,0.078037935
